"nombre simplificado","nombre_completo"
"Peña","Roque Sáenz Peña"
"Rosetti","Rosetti"
"Argentino","Rotarismo Argentino"
"Saavedra","Saavedra"
"Exupery","Saint Exupery"
"Poerio","Salvador Poerio"
"Morse","Samuel Morse"
"Agustín","San Agustín"
"Carlos","San Carlos"
"Cayetano","San Cayetano"
"Eduardo","San Eduardo"
"Francisco","San Francisco"
"Gerónimo","San Gerónimo"
"Guillermo","San Guillermo"
"Ignacio","San Ignacio"
"Javier","San Javier"
"Jorge","San Jorge"
"José","San José"
"Juan","San Juan"
"Murialdo","San Leonardo Murialdo"
"Lorenzo","San Lorenzo"
"Luis","San Luis"
"Martín","San Martín"
"Garicoits","San Miguel Garicoits"
"Pedro","San Pedro"
"Ramón","San Ramón"
"Roque","San Roque"
"Cruz","Santa Cruz"
"Arco","Santa Juana de Arco"
"Rita","Santa Rita"
"Rosalia","Santa Rosalia"
"Teresita","Santa Teresita"
"Liniers","Santiago de Liniers"
"Vicenzi","Santiago de Vicenzi"
"Estero","Santiago del Estero"
"Derqui","Santiago Derqui"
"Zanella","Santiago Zanella"
"Vega","Santos Vega"
"Díaz","Sargento Díaz"
"Cabral","Sargento Juan Bautista Cabral"
"Palma","Sargento Palma"
"Bordabehere","Senador Enzo Bordabehere"
"Séneca","Séneca"
"Bolivar","Simón Bolivar"
"Sócrates","Sócrates"
"Bordón","Soldado Hector Bordón"
"Caballero","Soldado Héctor Caballero"
"Stephenson","Stephenson"
"Sudamérica","Sudamérica"
"Suipacha","Suipacha"
"Suiza","Suiza"
"Ibáñez","Teniente Carlos J. Ibáñez"
"Ibarrola","Teniente Coronel Amadeo Ibarrola"
"Bergamini","Teniente Coronel Aviador José F. Bergamini"
"Besares","Teniente Coronel Manuel Besares"
"Espora","Teniente Espora"
"Galan","Teniente General Galan"
"Ricchieri","Teniente General Pablo Ricchieri"
"Plaza","Teodoro Plaza"
"Toledo","Toledo"
"Guido","Tomás Guido"
"Tornquist","Tornquist"
"Lomas","Tres Lomas"
"Tropezón","Tropezón"
"Tucumán","Tucumán"
"Coronado","Túnel Martin Coronado"
"Tupiza","Tupiza"
"Tupungato","Tupungato"
"Udine","Udine"
"Unión","Unión"
"Uruguay","Uruguay"
"Uspallata","Uspallata"
"Gómez","Valentín Gómez"
"Venezuela","Venezuela"
"Planes","Vicente López y Planes"
"Hugo","Victor Hugo"
"Dumas","Vito Dumas"
"Domuyo","Volcán Domuyo"
"Overo","Volcán Overo"
"José","Volcán San José"
"Paunero","Wenceslao Paunero"
"Williams","Williams"
"Hirth","Wolf Hirth"
